job_role,year,avg_salary_usd,growth_rate,base_automation_risk,salary_yoy_pct,salary_index,salary_cagr_5yr,growth_tier,salary_lag1,salary_lag2
Business Analyst,2023,87644.0,0.0352,0.3,0.0813,123.97,0.072,Moderate Growth,81051.0,80857.0
Business Analyst,2024,100083.0,0.0561,0.3,0.1419,141.56,0.072,Moderate Growth,87644.0,81051.0
Business Analyst,2025,93649.0,0.0302,0.3,-0.0643,132.46,0.072,Moderate Growth,100083.0,87644.0
Cloud Architect,2019,139495.0,0.068,0.12,,100.0,0.0635,Moderate Growth,,
Cloud Architect,2020,148487.0,0.0478,0.12,0.0645,106.45,0.0635,Moderate Growth,139495.0,
Cloud Architect,2021,148004.0,0.0407,0.12,-0.0033,106.1,0.0635,Moderate Growth,148487.0,139495.0
Cloud Architect,2022,156599.0,0.0327,0.12,0.0581,112.26,0.0635,Moderate Growth,148004.0,148487.0
Cloud Architect,2023,149406.0,0.0207,0.12,-0.0459,107.1,0.0635,Moderate Growth,156599.0,148004.0
Cloud Architect,2024,189751.0,0.0643,0.12,0.27,136.03,0.0635,Moderate Growth,149406.0,156599.0
Cloud Architect,2025,164741.0,0.0258,0.12,-0.1318,118.1,0.0635,Moderate Growth,189751.0,149406.0
Content Strategist,2019,65196.0,0.053,0.4,,100.0,0.0492,Moderate Growth,,
Content Strategist,2020,62675.0,0.0234,0.4,-0.0387,96.13,0.0492,Moderate Growth,65196.0,
Content Strategist,2021,74173.0,0.0653,0.4,0.1835,113.77,0.0492,Moderate Growth,62675.0,65196.0
Content Strategist,2022,72474.0,0.0462,0.4,-0.0229,111.16,0.0492,Moderate Growth,74173.0,62675.0
Content Strategist,2023,65094.0,0.0262,0.4,-0.1018,99.84,0.0492,Moderate Growth,72474.0,74173.0
Content Strategist,2024,82893.0,0.0486,0.4,0.2734,127.14,0.0492,Moderate Growth,65094.0,72474.0
Content Strategist,2025,85135.0,0.0444,0.4,0.027,130.58,0.0492,Moderate Growth,82893.0,65094.0
Data Analyst,2019,67229.0,0.0572,0.35,,100.0,0.0674,Moderate Growth,,
Data Analyst,2020,73872.0,0.0537,0.35,0.0988,109.88,0.0674,Moderate Growth,67229.0,
Data Analyst,2021,77003.0,0.0522,0.35,0.0424,114.54,0.0674,Moderate Growth,73872.0,67229.0
Data Analyst,2022,89565.0,0.0657,0.35,0.1631,133.22,0.0674,Moderate Growth,77003.0,73872.0
Data Analyst,2023,88979.0,0.0533,0.35,-0.0065,132.35,0.0674,Moderate Growth,89565.0,77003.0
Data Analyst,2024,93161.0,0.0615,0.35,0.047,138.57,0.0674,Moderate Growth,88979.0,89565.0
Data Analyst,2025,84878.0,0.0224,0.35,-0.0889,126.25,0.0674,Moderate Growth,93161.0,88979.0
Data Engineer,2019,116588.0,0.0992,0.18,,100.0,0.1045,High Growth,,
Data Engineer,2020,126028.0,0.0708,0.18,0.081,108.1,0.1045,High Growth,116588.0,
Data Engineer,2021,150237.0,0.1043,0.18,0.1921,128.86,0.1045,High Growth,126028.0,116588.0
Data Engineer,2022,171058.0,0.1245,0.18,0.1386,146.72,0.1045,High Growth,150237.0,126028.0
Data Engineer,2023,158259.0,0.0744,0.18,-0.0748,135.74,0.1045,High Growth,171058.0,150237.0
Data Engineer,2024,191608.0,0.0964,0.18,0.2107,164.35,0.1045,High Growth,158259.0,171058.0
Data Engineer,2025,230255.0,0.1167,0.18,0.2017,197.49,0.1045,High Growth,191608.0,158259.0
Data Scientist,2019,109753.0,0.0771,0.15,,100.0,0.0881,High Growth,,
Data Scientist,2020,119451.0,0.0776,0.15,0.0884,108.84,0.0881,High Growth,109753.0,
Data Scientist,2021,127673.0,0.0829,0.15,0.0688,116.33,0.0881,High Growth,119451.0,109753.0
Data Scientist,2022,149645.0,0.1067,0.15,0.1721,136.35,0.0881,High Growth,127673.0,119451.0
Data Scientist,2023,154919.0,0.0871,0.15,0.0352,141.15,0.0881,High Growth,149645.0,127673.0
Data Scientist,2024,167401.0,0.088,0.15,0.0806,152.53,0.0881,High Growth,154919.0,149645.0
Data Scientist,2025,164947.0,0.0756,0.15,-0.0147,150.29,0.0881,High Growth,167401.0,154919.0
DevOps Engineer,2019,113009.0,0.0392,0.2,,100.0,0.061,Moderate Growth,,
DevOps Engineer,2020,119966.0,0.0422,0.2,0.0616,106.16,0.061,Moderate Growth,113009.0,
DevOps Engineer,2021,128203.0,0.0597,0.2,0.0687,113.44,0.061,Moderate Growth,119966.0,113009.0
DevOps Engineer,2022,133824.0,0.0508,0.2,0.0438,118.42,0.061,Moderate Growth,128203.0,119966.0
DevOps Engineer,2023,117496.0,0.0203,0.2,-0.122,103.97,0.061,Moderate Growth,133824.0,128203.0
DevOps Engineer,2024,151937.0,0.0648,0.2,0.2931,134.45,0.061,Moderate Growth,117496.0,133824.0
DevOps Engineer,2025,144632.0,0.0367,0.2,-0.0481,127.98,0.061,Moderate Growth,151937.0,117496.0
Digital Marketer,2019,68545.0,0.0576,0.45,,100.0,0.0445,Moderate Growth,,
Digital Marketer,2020,66120.0,0.0203,0.45,-0.0354,96.46,0.0445,Moderate Growth,68545.0,
Digital Marketer,2021,67810.0,0.0295,0.45,0.0256,98.93,0.0445,Moderate Growth,66120.0,68545.0
Digital Marketer,2022,80012.0,0.055,0.45,0.1799,116.73,0.0445,Moderate Growth,67810.0,66120.0
Digital Marketer,2023,69077.0,0.0284,0.45,-0.1367,100.78,0.0445,Moderate Growth,80012.0,67810.0
Digital Marketer,2024,85207.0,0.0524,0.45,0.2335,124.31,0.0445,Moderate Growth,69077.0,80012.0
Digital Marketer,2025,83195.0,0.0504,0.45,-0.0236,121.37,0.0445,Moderate Growth,85207.0,69077.0
Excel Analyst,2019,57615.0,0.0038,0.68,,100.0,-0.0074,Stagnant/Declining,,
Excel Analyst,2020,54742.0,0.0154,0.68,-0.0499,95.01,-0.0074,Stagnant/Declining,57615.0,
Excel Analyst,2021,59578.0,-0.0098,0.68,0.0883,103.41,-0.0074,Stagnant/Declining,54742.0,57615.0
Excel Analyst,2022,60428.0,0.0004,0.68,0.0143,104.88,-0.0074,Stagnant/Declining,59578.0,54742.0
Excel Analyst,2023,56426.0,0.0048,0.68,-0.0662,97.94,-0.0074,Stagnant/Declining,60428.0,59578.0
Excel Analyst,2024,55526.0,-0.0006,0.68,-0.016,96.37,-0.0074,Stagnant/Declining,56426.0,60428.0
Excel Analyst,2025,57222.0,0.0017,0.68,0.0305,99.32,-0.0074,Stagnant/Declining,55526.0,56426.0
Financial Analyst,2019,71889.0,0.0366,0.38,,100.0,0.0709,Moderate Growth,,
Financial Analyst,2020,84820.0,0.0475,0.38,0.1799,117.99,0.0709,Moderate Growth,71889.0,
Financial Analyst,2021,88253.0,0.0565,0.38,0.0405,122.76,0.0709,Moderate Growth,84820.0,71889.0
Financial Analyst,2022,96149.0,0.064,0.38,0.0895,133.75,0.0709,Moderate Growth,88253.0,84820.0
Financial Analyst,2023,95561.0,0.0484,0.38,-0.0061,132.93,0.0709,Moderate Growth,96149.0,88253.0
Financial Analyst,2024,101254.0,0.0432,0.38,0.0596,140.85,0.0709,Moderate Growth,95561.0,96149.0
Financial Analyst,2025,122505.0,0.0686,0.38,0.2099,170.41,0.0709,Moderate Growth,101254.0,95561.0
HR Analyst,2019,68621.0,0.0659,0.44,,100.0,0.015,Slow Growth,,
HR Analyst,2020,70578.0,0.0439,0.44,0.0285,102.85,0.015,Slow Growth,68621.0,
HR Analyst,2021,69620.0,0.0583,0.44,-0.0136,101.46,0.015,Slow Growth,70578.0,68621.0
HR Analyst,2022,77605.0,0.055,0.44,0.1147,113.09,0.015,Slow Growth,69620.0,70578.0
HR Analyst,2023,78834.0,0.0629,0.44,0.0158,114.88,0.015,Slow Growth,77605.0,69620.0
HR Analyst,2024,73919.0,0.0234,0.44,-0.0623,107.72,0.015,Slow Growth,78834.0,77605.0
HR Analyst,2025,93935.0,0.069,0.44,0.2708,136.89,0.015,Slow Growth,73919.0,78834.0
IT Support Specialist,2019,55324.0,0.0037,0.6,,100.0,0.0167,Slow Growth,,
IT Support Specialist,2020,52037.0,-0.0044,0.6,-0.0594,94.06,0.0167,Slow Growth,55324.0,
IT Support Specialist,2021,60039.0,0.0195,0.6,0.1538,108.52,0.0167,Slow Growth,52037.0,55324.0
IT Support Specialist,2022,58799.0,0.0108,0.6,-0.0207,106.28,0.0167,Slow Growth,60039.0,52037.0
IT Support Specialist,2023,55809.0,0.0172,0.6,-0.0509,100.88,0.0167,Slow Growth,58799.0,60039.0
IT Support Specialist,2024,60113.0,0.014,0.6,0.0771,108.66,0.0167,Slow Growth,55809.0,58799.0
IT Support Specialist,2025,56934.0,-0.0032,0.6,-0.0529,102.91,0.0167,Slow Growth,60113.0,55809.0
Machine Learning Engineer,2019,135994.0,0.1092,0.1,,100.0,0.0728,Moderate Growth,,
Machine Learning Engineer,2020,150538.0,0.107,0.1,0.1069,110.69,0.0728,Moderate Growth,135994.0,
Machine Learning Engineer,2021,162120.0,0.1027,0.1,0.0769,119.21,0.0728,Moderate Growth,150538.0,135994.0
Machine Learning Engineer,2022,183284.0,0.115,0.1,0.1305,134.77,0.0728,Moderate Growth,162120.0,150538.0
Machine Learning Engineer,2023,210226.0,0.1112,0.1,0.147,154.58,0.0728,Moderate Growth,183284.0,162120.0
Machine Learning Engineer,2024,193257.0,0.0727,0.1,-0.0807,142.11,0.0728,Moderate Growth,210226.0,183284.0
Machine Learning Engineer,2025,204188.0,0.072,0.1,0.0566,150.14,0.0728,Moderate Growth,193257.0,210226.0
Operations Analyst,2019,67261.0,0.0641,0.4,,100.0,0.0783,Moderate Growth,,
Operations Analyst,2020,74104.0,0.0633,0.4,0.1017,110.17,0.0783,Moderate Growth,67261.0,
Operations Analyst,2021,80987.0,0.0529,0.4,0.0929,120.41,0.0783,Moderate Growth,74104.0,67261.0
Operations Analyst,2022,89891.0,0.0698,0.4,0.1099,133.65,0.0783,Moderate Growth,80987.0,74104.0
Operations Analyst,2023,80018.0,0.0269,0.4,-0.1098,118.97,0.0783,Moderate Growth,89891.0,80987.0
Operations Analyst,2024,98071.0,0.0561,0.4,0.2256,145.81,0.0783,Moderate Growth,80018.0,89891.0
Operations Analyst,2025,94331.0,0.0438,0.4,-0.0381,140.25,0.0783,Moderate Growth,98071.0,80018.0
Product Manager,2019,112757.0,0.0201,0.18,,100.0,0.0733,Moderate Growth,,
Product Manager,2020,117479.0,0.0289,0.18,0.0419,104.19,0.0733,Moderate Growth,112757.0,
Product Manager,2021,117957.0,0.0307,0.18,0.0041,104.61,0.0733,Moderate Growth,117479.0,112757.0
Product Manager,2022,127077.0,0.0347,0.18,0.0773,112.7,0.0733,Moderate Growth,117957.0,117479.0
Product Manager,2023,130956.0,0.0264,0.18,0.0305,116.14,0.0733,Moderate Growth,127077.0,117957.0
Product Manager,2024,160602.0,0.0663,0.18,0.2264,142.43,0.0733,Moderate Growth,130956.0,127077.0
Product Manager,2025,175794.0,0.069,0.18,0.0946,155.91,0.0733,Moderate Growth,160602.0,130956.0
QA Engineer,2019,81002.0,0.007,0.55,,100.0,0.0194,Slow Growth,,
QA Engineer,2020,83710.0,-0.0049,0.55,0.0334,103.34,0.0194,Slow Growth,81002.0,
QA Engineer,2021,91663.0,0.0131,0.55,0.095,113.16,0.0194,Slow Growth,83710.0,81002.0
QA Engineer,2022,81773.0,0.0019,0.55,-0.1079,100.95,0.0194,Slow Growth,91663.0,83710.0
QA Engineer,2023,82912.0,0.0153,0.55,0.0139,102.36,0.0194,Slow Growth,81773.0,91663.0
QA Engineer,2024,89163.0,0.0141,0.55,0.0754,110.08,0.0194,Slow Growth,82912.0,81773.0
QA Engineer,2025,81283.0,-0.0097,0.55,-0.0884,100.35,0.0194,Slow Growth,89163.0,82912.0
SEO Specialist,2019,62646.0,0.0202,0.58,,100.0,0.0467,Moderate Growth,,
SEO Specialist,2020,60013.0,0.0383,0.58,-0.042,95.8,0.0467,Moderate Growth,62646.0,
SEO Specialist,2021,62085.0,0.0247,0.58,0.0345,99.1,0.0467,Moderate Growth,60013.0,62646.0
SEO Specialist,2022,65110.0,0.0253,0.58,0.0487,103.93,0.0467,Moderate Growth,62085.0,60013.0
SEO Specialist,2023,64273.0,0.0256,0.58,-0.0129,102.6,0.0467,Moderate Growth,65110.0,62085.0
SEO Specialist,2024,78719.0,0.0418,0.58,0.2248,125.66,0.0467,Moderate Growth,64273.0,65110.0
SEO Specialist,2025,79368.0,0.0468,0.58,0.0082,126.69,0.0467,Moderate Growth,78719.0,64273.0
SQL Developer,2019,78405.0,0.0297,0.42,,100.0,0.0651,Moderate Growth,,
SQL Developer,2020,81889.0,0.0624,0.42,0.0444,104.44,0.0651,Moderate Growth,78405.0,
SQL Developer,2021,79574.0,0.0353,0.42,-0.0283,101.49,0.0651,Moderate Growth,81889.0,78405.0
SQL Developer,2022,90732.0,0.0549,0.42,0.1402,115.72,0.0651,Moderate Growth,79574.0,81889.0
SQL Developer,2023,103501.0,0.0693,0.42,0.1407,132.01,0.0651,Moderate Growth,90732.0,79574.0
SQL Developer,2024,107497.0,0.0631,0.42,0.0386,137.1,0.0651,Moderate Growth,103501.0,90732.0
SQL Developer,2025,82672.0,0.021,0.42,-0.2309,105.44,0.0651,Moderate Growth,107497.0,103501.0
Software Developer,2019,108111.0,0.0688,0.25,,100.0,0.044,Moderate Growth,,
Software Developer,2020,109157.0,0.0656,0.25,0.0097,100.97,0.044,Moderate Growth,108111.0,
Software Developer,2021,112117.0,0.0367,0.25,0.0271,103.71,0.044,Moderate Growth,109157.0,108111.0
Software Developer,2022,127298.0,0.0638,0.25,0.1354,117.75,0.044,Moderate Growth,112117.0,109157.0
Software Developer,2023,128800.0,0.0481,0.25,0.0118,119.14,0.044,Moderate Growth,127298.0,112117.0
Software Developer,2024,134098.0,0.0595,0.25,0.0411,124.04,0.044,Moderate Growth,128800.0,127298.0
Software Developer,2025,135777.0,0.0472,0.25,0.0125,125.59,0.044,Moderate Growth,134098.0,128800.0
Statistician,2019,83241.0,0.0343,0.22,,100.0,0.0662,Moderate Growth,,
Statistician,2020,94875.0,0.043,0.22,0.1398,113.98,0.0662,Moderate Growth,83241.0,
Statistician,2021,95170.0,0.0327,0.22,0.0031,114.33,0.0662,Moderate Growth,94875.0,83241.0
Statistician,2022,106830.0,0.0491,0.22,0.1225,128.34,0.0662,Moderate Growth,95170.0,94875.0
Statistician,2023,106679.0,0.0514,0.22,-0.0014,128.16,0.0662,Moderate Growth,106830.0,95170.0
Statistician,2024,114699.0,0.0531,0.22,0.0752,137.79,0.0662,Moderate Growth,106679.0,106830.0
Statistician,2025,115150.0,0.0486,0.22,0.0039,138.33,0.0662,Moderate Growth,114699.0,106679.0
Supply Chain Analyst,2019,70930.0,0.0504,0.32,,100.0,0.0549,Moderate Growth,,
Supply Chain Analyst,2020,76892.0,0.0277,0.32,0.0841,108.41,0.0549,Moderate Growth,70930.0,
Supply Chain Analyst,2021,75976.0,0.0654,0.32,-0.0119,107.11,0.0549,Moderate Growth,76892.0,70930.0
Supply Chain Analyst,2022,78946.0,0.044,0.32,0.0391,111.3,0.0549,Moderate Growth,75976.0,76892.0
Supply Chain Analyst,2023,82309.0,0.0286,0.32,0.0426,116.04,0.0549,Moderate Growth,78946.0,75976.0
Supply Chain Analyst,2024,92664.0,0.0455,0.32,0.1258,130.64,0.0549,Moderate Growth,82309.0,78946.0
Supply Chain Analyst,2025,90695.0,0.0366,0.32,-0.0212,127.87,0.0549,Moderate Growth,92664.0,82309.0
