job_role,experience_level,predicted_auto_risk,risk_tier,human_dependency_score
Digital Marketer,Lead,0.8595,💀 Critical Risk,14.05
Digital Marketer,Mid,0.9161,💀 Critical Risk,8.39
Digital Marketer,Principal,0.7546,🔴 High Risk,24.54
Digital Marketer,Senior,0.9489,💀 Critical Risk,5.11
Excel Analyst,Entry,0.9893,💀 Critical Risk,1.07
Excel Analyst,Lead,0.9876,💀 Critical Risk,1.24
Excel Analyst,Mid,0.9926,💀 Critical Risk,0.74
Excel Analyst,Principal,0.9518,💀 Critical Risk,4.82
Excel Analyst,Senior,0.9801,💀 Critical Risk,1.99
Financial Analyst,Entry,0.9356,💀 Critical Risk,6.44
Financial Analyst,Lead,0.9774,💀 Critical Risk,2.26
Financial Analyst,Mid,0.7237,🔴 High Risk,27.63
Financial Analyst,Principal,0.9292,💀 Critical Risk,7.08
Financial Analyst,Senior,0.9073,💀 Critical Risk,9.27
HR Analyst,Entry,0.9025,💀 Critical Risk,9.75
HR Analyst,Lead,0.9822,💀 Critical Risk,1.78
HR Analyst,Mid,0.9263,💀 Critical Risk,7.37
HR Analyst,Principal,0.7637,🔴 High Risk,23.63
HR Analyst,Senior,0.9578,💀 Critical Risk,4.22
IT Support Specialist,Entry,0.9912,💀 Critical Risk,0.88
IT Support Specialist,Lead,0.9727,💀 Critical Risk,2.73
IT Support Specialist,Mid,0.9003,💀 Critical Risk,9.97
IT Support Specialist,Principal,0.8492,💀 Critical Risk,15.08
IT Support Specialist,Senior,0.9676,💀 Critical Risk,3.24
Machine Learning Engineer,Entry,0.286,🟡 Low Risk,71.4
Machine Learning Engineer,Lead,0.7308,🔴 High Risk,26.92
Machine Learning Engineer,Mid,0.9037,💀 Critical Risk,9.63
Machine Learning Engineer,Principal,0.9213,💀 Critical Risk,7.87
Machine Learning Engineer,Senior,0.8653,💀 Critical Risk,13.47
Operations Analyst,Entry,0.7405,🔴 High Risk,25.95
Operations Analyst,Lead,0.8456,💀 Critical Risk,15.44
Operations Analyst,Mid,0.8823,💀 Critical Risk,11.77
Operations Analyst,Principal,0.8921,💀 Critical Risk,10.79
Operations Analyst,Senior,0.8541,💀 Critical Risk,14.59
Product Manager,Entry,0.8987,💀 Critical Risk,10.13
Product Manager,Lead,0.6187,🔴 High Risk,38.13
Product Manager,Mid,0.4804,🟠 Moderate Risk,51.96
Product Manager,Principal,0.9482,💀 Critical Risk,5.18
Product Manager,Senior,0.9224,💀 Critical Risk,7.76
QA Engineer,Entry,0.961,💀 Critical Risk,3.9
QA Engineer,Lead,0.9716,💀 Critical Risk,2.84
QA Engineer,Mid,0.9652,💀 Critical Risk,3.48
QA Engineer,Principal,0.8134,💀 Critical Risk,18.66
QA Engineer,Senior,0.9488,💀 Critical Risk,5.12
SEO Specialist,Entry,1.0,💀 Critical Risk,0.0
SEO Specialist,Lead,0.9932,💀 Critical Risk,0.68
SEO Specialist,Mid,1.0,💀 Critical Risk,0.0
SEO Specialist,Principal,1.0,💀 Critical Risk,0.0
SEO Specialist,Senior,1.0,💀 Critical Risk,0.0
SQL Developer,Entry,0.7568,🔴 High Risk,24.32
SQL Developer,Lead,0.8863,💀 Critical Risk,11.37
SQL Developer,Mid,0.9886,💀 Critical Risk,1.14
SQL Developer,Principal,0.9659,💀 Critical Risk,3.41
SQL Developer,Senior,0.9519,💀 Critical Risk,4.81
Software Developer,Entry,0.9605,💀 Critical Risk,3.95
Software Developer,Lead,0.698,🔴 High Risk,30.2
Software Developer,Mid,0.5546,🟠 Moderate Risk,44.54
Software Developer,Principal,0.8941,💀 Critical Risk,10.59
Software Developer,Senior,0.8267,💀 Critical Risk,17.33
Statistician,Entry,0.6568,🔴 High Risk,34.32
Statistician,Lead,0.7249,🔴 High Risk,27.51
Statistician,Mid,0.9758,💀 Critical Risk,2.42
Statistician,Principal,0.8506,💀 Critical Risk,14.94
Statistician,Senior,0.4569,🟠 Moderate Risk,54.31
Supply Chain Analyst,Entry,0.9176,💀 Critical Risk,8.24
Supply Chain Analyst,Lead,0.8919,💀 Critical Risk,10.81
Supply Chain Analyst,Mid,0.7398,🔴 High Risk,26.02
Supply Chain Analyst,Principal,0.7532,🔴 High Risk,24.68
Supply Chain Analyst,Senior,0.8177,💀 Critical Risk,18.23
