id,year,job_role,salary_usd,automation_risk,demand_index,skill
25,2022,Digital Marketer,201437.0,0.122,122.5,LLMs/GenAI
25,2022,Digital Marketer,201437.0,0.122,122.5,SQL
25,2022,Digital Marketer,201437.0,0.122,122.5,Python
26,2021,IT Support Specialist,194527.0,0.923,107.2,Spark/PySpark
26,2021,IT Support Specialist,194527.0,0.923,107.2,dbt
26,2021,IT Support Specialist,194527.0,0.923,107.2,Prompt Engineering
26,2021,IT Support Specialist,194527.0,0.923,107.2,Basic SEO
26,2021,IT Support Specialist,194527.0,0.923,107.2,Machine Learning
26,2021,IT Support Specialist,194527.0,0.923,107.2,Excel (Basic)
27,2019,Product Manager,276708.0,0.9,98.9,A/B Testing
27,2019,Product Manager,276708.0,0.9,98.9,Copy-Paste Reporting
27,2019,Product Manager,276708.0,0.9,98.9,LLMs/GenAI
27,2019,Product Manager,276708.0,0.9,98.9,Machine Learning
27,2019,Product Manager,276708.0,0.9,98.9,Basic SEO
27,2019,Product Manager,276708.0,0.9,98.9,Deep Learning
28,2019,Accountant,65535.0,0.98,97.4,Excel (Basic)
28,2019,Accountant,65535.0,0.98,97.4,Airflow
28,2019,Accountant,65535.0,0.98,97.4,Manual Testing
29,2019,QA Engineer,249757.0,0.98,104.6,Kubernetes
29,2019,QA Engineer,249757.0,0.98,104.6,dbt
29,2019,QA Engineer,249757.0,0.98,104.6,Legacy VBA
29,2019,QA Engineer,249757.0,0.98,104.6,Crystal Reports
29,2019,QA Engineer,249757.0,0.98,104.6,MLOps
30,2022,Data Engineer,209172.0,0.469,138.5,Python
30,2022,Data Engineer,209172.0,0.469,138.5,Tableau
30,2022,Data Engineer,209172.0,0.469,138.5,Manual Testing
31,2019,Data Scientist,387485.0,0.05,96.5,Spark/PySpark
31,2019,Data Scientist,387485.0,0.05,96.5,Vector Databases
31,2019,Data Scientist,387485.0,0.05,96.5,Deep Learning
31,2019,Data Scientist,387485.0,0.05,96.5,Airflow
31,2019,Data Scientist,387485.0,0.05,96.5,Prompt Engineering
32,2025,SEO Specialist,101516.0,0.98,122.6,Legacy VBA
32,2025,SEO Specialist,101516.0,0.98,122.6,Basic SEO
32,2025,SEO Specialist,101516.0,0.98,122.6,R
33,2024,Machine Learning Engineer,184855.0,0.553,123.6,MS Access
33,2024,Machine Learning Engineer,184855.0,0.553,123.6,R
33,2024,Machine Learning Engineer,184855.0,0.553,123.6,Spark/PySpark
34,2023,SQL Developer,226197.0,0.98,87.7,Kubernetes
34,2023,SQL Developer,226197.0,0.98,87.7,Machine Learning
34,2023,SQL Developer,226197.0,0.98,87.7,Deep Learning
34,2023,SQL Developer,226197.0,0.98,87.7,Data Entry
34,2023,SQL Developer,226197.0,0.98,87.7,Power BI
34,2023,SQL Developer,226197.0,0.98,87.7,Copy-Paste Reporting
35,2021,Data Engineer,292443.0,0.156,114.1,R
35,2021,Data Engineer,292443.0,0.156,114.1,Python
35,2021,Data Engineer,292443.0,0.156,114.1,Cloud (AWS/GCP)
35,2021,Data Engineer,292443.0,0.156,114.1,Deep Learning
35,2021,Data Engineer,292443.0,0.156,114.1,Crystal Reports
35,2021,Data Engineer,292443.0,0.156,114.1,Spark/PySpark
36,2025,DevOps Engineer,425335.0,0.907,125.5,Spark/PySpark
36,2025,DevOps Engineer,425335.0,0.907,125.5,Machine Learning
36,2025,DevOps Engineer,425335.0,0.907,125.5,Prompt Engineering
36,2025,DevOps Engineer,425335.0,0.907,125.5,Vector Databases
36,2025,DevOps Engineer,425335.0,0.907,125.5,Basic SEO
36,2025,DevOps Engineer,425335.0,0.907,125.5,Cold Calling
37,2020,Supply Chain Analyst,110065.0,0.98,101.2,Manual Testing
37,2020,Supply Chain Analyst,110065.0,0.98,101.2,MS Access
37,2020,Supply Chain Analyst,110065.0,0.98,101.2,Spark/PySpark
37,2020,Supply Chain Analyst,110065.0,0.98,101.2,Airflow
37,2020,Supply Chain Analyst,110065.0,0.98,101.2,LLMs/GenAI
37,2020,Supply Chain Analyst,110065.0,0.98,101.2,Basic SEO
38,2019,BI Developer,192917.0,0.942,112.3,LLMs/GenAI
38,2019,BI Developer,192917.0,0.942,112.3,COBOL
38,2019,BI Developer,192917.0,0.942,112.3,Crystal Reports
38,2019,BI Developer,192917.0,0.942,112.3,Cloud (AWS/GCP)
38,2019,BI Developer,192917.0,0.942,112.3,SQL
39,2025,Digital Marketer,119213.0,0.98,125.2,Prompt Engineering
39,2025,Digital Marketer,119213.0,0.98,125.2,Basic SEO
39,2025,Digital Marketer,119213.0,0.98,125.2,COBOL
39,2025,Digital Marketer,119213.0,0.98,125.2,Copy-Paste Reporting
39,2025,Digital Marketer,119213.0,0.98,125.2,Airflow
40,2024,SQL Developer,201662.0,0.929,120.8,Cold Calling
40,2024,SQL Developer,201662.0,0.929,120.8,Kubernetes
40,2024,SQL Developer,201662.0,0.929,120.8,Vector Databases
41,2022,Supply Chain Analyst,245830.0,0.328,141.9,Kubernetes
41,2022,Supply Chain Analyst,245830.0,0.328,141.9,LLMs/GenAI
41,2022,Supply Chain Analyst,245830.0,0.328,141.9,Excel (Basic)
42,2021,Business Analyst,81978.0,0.98,134.6,MS Access
42,2021,Business Analyst,81978.0,0.98,134.6,COBOL
42,2021,Business Analyst,81978.0,0.98,134.6,MLOps
42,2021,Business Analyst,81978.0,0.98,134.6,Power BI
42,2021,Business Analyst,81978.0,0.98,134.6,Manual Testing
43,2019,Software Developer,233547.0,0.593,100.5,Crystal Reports
43,2019,Software Developer,233547.0,0.593,100.5,Power BI
43,2019,Software Developer,233547.0,0.593,100.5,Python
44,2025,SEO Specialist,95807.0,0.98,131.2,Legacy VBA
44,2025,SEO Specialist,95807.0,0.98,131.2,MLOps
44,2025,SEO Specialist,95807.0,0.98,131.2,Manual Testing
45,2025,Machine Learning Engineer,316860.0,0.224,118.9,MLOps
45,2025,Machine Learning Engineer,316860.0,0.224,118.9,SQL
45,2025,Machine Learning Engineer,316860.0,0.224,118.9,Crystal Reports
45,2025,Machine Learning Engineer,316860.0,0.224,118.9,Prompt Engineering
45,2025,Machine Learning Engineer,316860.0,0.224,118.9,R
45,2025,Machine Learning Engineer,316860.0,0.224,118.9,Spark/PySpark
46,2024,Software Developer,188312.0,0.442,122.7,SQL
46,2024,Software Developer,188312.0,0.442,122.7,R
46,2024,Software Developer,188312.0,0.442,122.7,Basic SEO
46,2024,Software Developer,188312.0,0.442,122.7,Python
46,2024,Software Developer,188312.0,0.442,122.7,Prompt Engineering
47,2022,Financial Analyst,311732.0,0.518,126.9,Tableau
47,2022,Financial Analyst,311732.0,0.518,126.9,Legacy VBA
47,2022,Financial Analyst,311732.0,0.518,126.9,dbt
47,2022,Financial Analyst,311732.0,0.518,126.9,A/B Testing
47,2022,Financial Analyst,311732.0,0.518,126.9,Statistics
47,2022,Financial Analyst,311732.0,0.518,126.9,LLMs/GenAI
48,2021,Content Strategist,196480.0,0.98,108.9,Legacy VBA
48,2021,Content Strategist,196480.0,0.98,108.9,Prompt Engineering
48,2021,Content Strategist,196480.0,0.98,108.9,Airflow
48,2021,Content Strategist,196480.0,0.98,108.9,COBOL
49,2019,Business Analyst,94799.0,0.98,93.8,Tableau
49,2019,Business Analyst,94799.0,0.98,93.8,Power BI
49,2019,Business Analyst,94799.0,0.98,93.8,Data Entry
50,2024,Operations Analyst,186082.0,0.98,156.1,Spark/PySpark
50,2024,Operations Analyst,186082.0,0.98,156.1,Data Entry
50,2024,Operations Analyst,186082.0,0.98,156.1,Crystal Reports
50,2024,Operations Analyst,186082.0,0.98,156.1,Python
51,2025,Machine Learning Engineer,415683.0,0.05,156.7,Machine Learning
51,2025,Machine Learning Engineer,415683.0,0.05,156.7,R
51,2025,Machine Learning Engineer,415683.0,0.05,156.7,Airflow
51,2025,Machine Learning Engineer,415683.0,0.05,156.7,Cloud (AWS/GCP)
51,2025,Machine Learning Engineer,415683.0,0.05,156.7,Tableau
51,2025,Machine Learning Engineer,415683.0,0.05,156.7,Spark/PySpark
52,2024,Content Strategist,192523.0,0.98,128.7,Manual Testing
52,2024,Content Strategist,192523.0,0.98,128.7,Basic SEO
52,2024,Content Strategist,192523.0,0.98,128.7,MS Access
52,2024,Content Strategist,192523.0,0.98,128.7,A/B Testing
52,2024,Content Strategist,192523.0,0.98,128.7,Power BI
52,2024,Content Strategist,192523.0,0.98,128.7,R
53,2020,Product Manager,224604.0,0.98,103.8,Basic SEO
53,2020,Product Manager,224604.0,0.98,103.8,Data Entry
53,2020,Product Manager,224604.0,0.98,103.8,Kubernetes
53,2020,Product Manager,224604.0,0.98,103.8,Cold Calling
54,2022,HR Analyst,110245.0,0.756,118.1,Crystal Reports
54,2022,HR Analyst,110245.0,0.756,118.1,Prompt Engineering
54,2022,HR Analyst,110245.0,0.756,118.1,Airflow
55,2021,SEO Specialist,87299.0,0.905,110.1,SQL
55,2021,SEO Specialist,87299.0,0.905,110.1,Crystal Reports
55,2021,SEO Specialist,87299.0,0.905,110.1,Spark/PySpark
55,2021,SEO Specialist,87299.0,0.905,110.1,dbt
56,2022,Cloud Architect,322306.0,0.62,127.2,dbt
56,2022,Cloud Architect,322306.0,0.62,127.2,Basic SEO
56,2022,Cloud Architect,322306.0,0.62,127.2,Power BI
57,2025,Financial Analyst,135048.0,0.517,139.8,Python
57,2025,Financial Analyst,135048.0,0.517,139.8,Vector Databases
57,2025,Financial Analyst,135048.0,0.517,139.8,Prompt Engineering
57,2025,Financial Analyst,135048.0,0.517,139.8,Cold Calling
57,2025,Financial Analyst,135048.0,0.517,139.8,SQL
57,2025,Financial Analyst,135048.0,0.517,139.8,Power BI
58,2024,SEO Specialist,232845.0,0.313,131.1,Kubernetes
58,2024,SEO Specialist,232845.0,0.313,131.1,Power BI
58,2024,SEO Specialist,232845.0,0.313,131.1,Statistics
58,2024,SEO Specialist,232845.0,0.313,131.1,Python
59,2024,Supply Chain Analyst,189708.0,0.64,139.7,Manual Testing
59,2024,Supply Chain Analyst,189708.0,0.64,139.7,R
59,2024,Supply Chain Analyst,189708.0,0.64,139.7,Python
59,2024,Supply Chain Analyst,189708.0,0.64,139.7,SQL
60,2024,Data Analyst,170111.0,0.05,146.3,LLMs/GenAI
60,2024,Data Analyst,170111.0,0.05,146.3,Machine Learning
60,2024,Data Analyst,170111.0,0.05,146.3,Kubernetes
60,2024,Data Analyst,170111.0,0.05,146.3,SQL
60,2024,Data Analyst,170111.0,0.05,146.3,MLOps
60,2024,Data Analyst,170111.0,0.05,146.3,dbt
61,2021,Software Developer,187403.0,0.544,109.4,Statistics
61,2021,Software Developer,187403.0,0.544,109.4,Python
61,2021,Software Developer,187403.0,0.544,109.4,MS Access
62,2021,Excel Analyst,76043.0,0.98,100.6,dbt
62,2021,Excel Analyst,76043.0,0.98,100.6,Basic SEO
62,2021,Excel Analyst,76043.0,0.98,100.6,Python
62,2021,Excel Analyst,76043.0,0.98,100.6,Manual Testing
63,2020,Digital Marketer,108069.0,0.98,103.8,Crystal Reports
63,2020,Digital Marketer,108069.0,0.98,103.8,Kubernetes
63,2020,Digital Marketer,108069.0,0.98,103.8,Cold Calling
63,2020,Digital Marketer,108069.0,0.98,103.8,Vector Databases
63,2020,Digital Marketer,108069.0,0.98,103.8,LLMs/GenAI
63,2020,Digital Marketer,108069.0,0.98,103.8,Manual Testing
64,2024,Operations Analyst,87769.0,0.432,143.1,Excel (Basic)
64,2024,Operations Analyst,87769.0,0.432,143.1,Python
64,2024,Operations Analyst,87769.0,0.432,143.1,Prompt Engineering
65,2022,Software Developer,160707.0,0.98,132.4,Cloud (AWS/GCP)
65,2022,Software Developer,160707.0,0.98,132.4,Crystal Reports
65,2022,Software Developer,160707.0,0.98,132.4,Cold Calling
65,2022,Software Developer,160707.0,0.98,132.4,Prompt Engineering
66,2023,Machine Learning Engineer,442476.0,0.903,109.3,Legacy VBA
66,2023,Machine Learning Engineer,442476.0,0.903,109.3,Vector Databases
66,2023,Machine Learning Engineer,442476.0,0.903,109.3,Deep Learning
66,2023,Machine Learning Engineer,442476.0,0.903,109.3,A/B Testing
66,2023,Machine Learning Engineer,442476.0,0.903,109.3,Data Entry
66,2023,Machine Learning Engineer,442476.0,0.903,109.3,MLOps
67,2022,Digital Marketer,111956.0,0.98,136.8,Crystal Reports
67,2022,Digital Marketer,111956.0,0.98,136.8,Spark/PySpark
67,2022,Digital Marketer,111956.0,0.98,136.8,Power BI
67,2022,Digital Marketer,111956.0,0.98,136.8,LLMs/GenAI
67,2022,Digital Marketer,111956.0,0.98,136.8,MS Access
67,2022,Digital Marketer,111956.0,0.98,136.8,A/B Testing
68,2021,Accountant,247558.0,0.98,125.9,Basic SEO
68,2021,Accountant,247558.0,0.98,125.9,MS Access
68,2021,Accountant,247558.0,0.98,125.9,Excel (Basic)
68,2021,Accountant,247558.0,0.98,125.9,Kubernetes
68,2021,Accountant,247558.0,0.98,125.9,MLOps
68,2021,Accountant,247558.0,0.98,125.9,Airflow
69,2019,Statistician,265911.0,0.892,102.6,MLOps
69,2019,Statistician,265911.0,0.892,102.6,Python
69,2019,Statistician,265911.0,0.892,102.6,Statistics
69,2019,Statistician,265911.0,0.892,102.6,Copy-Paste Reporting
69,2019,Statistician,265911.0,0.892,102.6,LLMs/GenAI
69,2019,Statistician,265911.0,0.892,102.6,COBOL
70,2025,Statistician,258213.0,0.05,145.7,R
70,2025,Statistician,258213.0,0.05,145.7,Python
70,2025,Statistician,258213.0,0.05,145.7,A/B Testing
70,2025,Statistician,258213.0,0.05,145.7,dbt
70,2025,Statistician,258213.0,0.05,145.7,Deep Learning
71,2022,Digital Marketer,309551.0,0.309,122.9,Tableau
71,2022,Digital Marketer,309551.0,0.309,122.9,COBOL
71,2022,Digital Marketer,309551.0,0.309,122.9,Python
71,2022,Digital Marketer,309551.0,0.309,122.9,Deep Learning
71,2022,Digital Marketer,309551.0,0.309,122.9,Prompt Engineering
71,2022,Digital Marketer,309551.0,0.309,122.9,Airflow
72,2020,AI Engineer,387016.0,0.186,112.8,Power BI
72,2020,AI Engineer,387016.0,0.186,112.8,MS Access
72,2020,AI Engineer,387016.0,0.186,112.8,R
72,2020,AI Engineer,387016.0,0.186,112.8,MLOps
72,2020,AI Engineer,387016.0,0.186,112.8,Vector Databases
73,2021,AI Engineer,267770.0,0.283,120.6,MLOps
73,2021,AI Engineer,267770.0,0.283,120.6,Cloud (AWS/GCP)
73,2021,AI Engineer,267770.0,0.283,120.6,MS Access
73,2021,AI Engineer,267770.0,0.283,120.6,R
74,2024,BI Developer,115159.0,0.98,114.8,MS Access
74,2024,BI Developer,115159.0,0.98,114.8,Excel (Basic)
74,2024,BI Developer,115159.0,0.98,114.8,Cold Calling
74,2024,BI Developer,115159.0,0.98,114.8,A/B Testing
74,2024,BI Developer,115159.0,0.98,114.8,Manual Testing
75,2019,SQL Developer,165281.0,0.562,97.6,Prompt Engineering
75,2019,SQL Developer,165281.0,0.562,97.6,Python
75,2019,SQL Developer,165281.0,0.562,97.6,Crystal Reports
75,2019,SQL Developer,165281.0,0.562,97.6,R
76,2019,Business Analyst,275444.0,0.592,94.6,Cloud (AWS/GCP)
76,2019,Business Analyst,275444.0,0.592,94.6,Python
76,2019,Business Analyst,275444.0,0.592,94.6,Excel (Basic)
76,2019,Business Analyst,275444.0,0.592,94.6,Prompt Engineering
76,2019,Business Analyst,275444.0,0.592,94.6,Statistics
76,2019,Business Analyst,275444.0,0.592,94.6,MS Access
77,2020,Business Analyst,158988.0,0.05,104.1,SQL
77,2020,Business Analyst,158988.0,0.05,104.1,Statistics
77,2020,Business Analyst,158988.0,0.05,104.1,Deep Learning
78,2024,Business Analyst,165332.0,0.626,127.6,Deep Learning
78,2024,Business Analyst,165332.0,0.626,127.6,Airflow
78,2024,Business Analyst,165332.0,0.626,127.6,Cloud (AWS/GCP)
78,2024,Business Analyst,165332.0,0.626,127.6,R
78,2024,Business Analyst,165332.0,0.626,127.6,Cold Calling
79,2023,Accountant,136119.0,0.98,122.7,Tableau
79,2023,Accountant,136119.0,0.98,122.7,Prompt Engineering
79,2023,Accountant,136119.0,0.98,122.7,Excel (Basic)
79,2023,Accountant,136119.0,0.98,122.7,Power BI
79,2023,Accountant,136119.0,0.98,122.7,Basic SEO
79,2023,Accountant,136119.0,0.98,122.7,COBOL
80,2023,Product Manager,161394.0,0.32,115.3,Legacy VBA
80,2023,Product Manager,161394.0,0.32,115.3,Deep Learning
80,2023,Product Manager,161394.0,0.32,115.3,LLMs/GenAI
80,2023,Product Manager,161394.0,0.32,115.3,Airflow
80,2023,Product Manager,161394.0,0.32,115.3,R
81,2019,QA Engineer,216912.0,0.98,102.5,Machine Learning
81,2019,QA Engineer,216912.0,0.98,102.5,Airflow
81,2019,QA Engineer,216912.0,0.98,102.5,Prompt Engineering
81,2019,QA Engineer,216912.0,0.98,102.5,Crystal Reports
81,2019,QA Engineer,216912.0,0.98,102.5,Copy-Paste Reporting
82,2024,Excel Analyst,209078.0,0.98,124.7,Cloud (AWS/GCP)
82,2024,Excel Analyst,209078.0,0.98,124.7,R
82,2024,Excel Analyst,209078.0,0.98,124.7,Airflow
82,2024,Excel Analyst,209078.0,0.98,124.7,Data Entry
82,2024,Excel Analyst,209078.0,0.98,124.7,Spark/PySpark
82,2024,Excel Analyst,209078.0,0.98,124.7,Kubernetes
83,2019,Business Analyst,133625.0,0.44,108.8,Tableau
83,2019,Business Analyst,133625.0,0.44,108.8,Cloud (AWS/GCP)
83,2019,Business Analyst,133625.0,0.44,108.8,Crystal Reports
83,2019,Business Analyst,133625.0,0.44,108.8,Prompt Engineering
83,2019,Business Analyst,133625.0,0.44,108.8,SQL
84,2023,SEO Specialist,162294.0,0.892,136.7,Power BI
84,2023,SEO Specialist,162294.0,0.892,136.7,MS Access
84,2023,SEO Specialist,162294.0,0.892,136.7,MLOps
85,2019,Data Scientist,122610.0,0.98,92.4,Cold Calling
85,2019,Data Scientist,122610.0,0.98,92.4,Legacy VBA
85,2019,Data Scientist,122610.0,0.98,92.4,Basic SEO
86,2019,BI Developer,195203.0,0.98,96.5,LLMs/GenAI
86,2019,BI Developer,195203.0,0.98,96.5,Excel (Basic)
86,2019,BI Developer,195203.0,0.98,96.5,Power BI
86,2019,BI Developer,195203.0,0.98,96.5,Data Entry
86,2019,BI Developer,195203.0,0.98,96.5,Basic SEO
87,2019,Digital Marketer,186169.0,0.98,95.4,Legacy VBA
87,2019,Digital Marketer,186169.0,0.98,95.4,Cloud (AWS/GCP)
87,2019,Digital Marketer,186169.0,0.98,95.4,Copy-Paste Reporting
87,2019,Digital Marketer,186169.0,0.98,95.4,LLMs/GenAI
87,2019,Digital Marketer,186169.0,0.98,95.4,MLOps
88,2022,AI Engineer,412099.0,0.05,126.8,Deep Learning
88,2022,AI Engineer,412099.0,0.05,126.8,MLOps
88,2022,AI Engineer,412099.0,0.05,126.8,Kubernetes
88,2022,AI Engineer,412099.0,0.05,126.8,Basic SEO
88,2022,AI Engineer,412099.0,0.05,126.8,Cloud (AWS/GCP)
88,2022,AI Engineer,412099.0,0.05,126.8,SQL
89,2025,Data Analyst,251277.0,0.093,157.5,dbt
89,2025,Data Analyst,251277.0,0.093,157.5,A/B Testing
89,2025,Data Analyst,251277.0,0.093,157.5,Vector Databases
90,2022,HR Analyst,196131.0,0.672,121.2,R
90,2022,HR Analyst,196131.0,0.672,121.2,Spark/PySpark
90,2022,HR Analyst,196131.0,0.672,121.2,Prompt Engineering
90,2022,HR Analyst,196131.0,0.672,121.2,Tableau
90,2022,HR Analyst,196131.0,0.672,121.2,Crystal Reports
91,2019,HR Analyst,259206.0,0.05,105.8,R
91,2019,HR Analyst,259206.0,0.05,105.8,Python
91,2019,HR Analyst,259206.0,0.05,105.8,Power BI
91,2019,HR Analyst,259206.0,0.05,105.8,Deep Learning
91,2019,HR Analyst,259206.0,0.05,105.8,Airflow
92,2019,IT Support Specialist,73551.0,0.98,102.3,A/B Testing
92,2019,IT Support Specialist,73551.0,0.98,102.3,Crystal Reports
92,2019,IT Support Specialist,73551.0,0.98,102.3,Kubernetes
92,2019,IT Support Specialist,73551.0,0.98,102.3,Power BI
92,2019,IT Support Specialist,73551.0,0.98,102.3,Basic SEO
93,2022,Excel Analyst,227605.0,0.98,99.6,dbt
93,2022,Excel Analyst,227605.0,0.98,99.6,Manual Testing
93,2022,Excel Analyst,227605.0,0.98,99.6,A/B Testing
93,2022,Excel Analyst,227605.0,0.98,99.6,MS Access
93,2022,Excel Analyst,227605.0,0.98,99.6,Spark/PySpark
93,2022,Excel Analyst,227605.0,0.98,99.6,Deep Learning
94,2025,QA Engineer,155795.0,0.98,120.5,Prompt Engineering
94,2025,QA Engineer,155795.0,0.98,120.5,MS Access
94,2025,QA Engineer,155795.0,0.98,120.5,Basic SEO
95,2024,Digital Marketer,153055.0,0.98,143.4,Vector Databases
95,2024,Digital Marketer,153055.0,0.98,143.4,MLOps
95,2024,Digital Marketer,153055.0,0.98,143.4,R
95,2024,Digital Marketer,153055.0,0.98,143.4,Cold Calling
95,2024,Digital Marketer,153055.0,0.98,143.4,COBOL
