year,experience_ord,role_encoded,num_skills,skill_count,avg_skill_trend_score,demand_index,salary_vs_median,salary_cagr_5yr,future_proof,salary_usd,automation_risk,job_role,experience_level,risk_label
2022,5,15,4,4,4.75,112.5,1.231,0.0728,0,314874.0,0.98,Machine Learning Engineer,Principal,Critical Risk
2025,3,22,3,3,4.0,168.1,0.889,0.0662,0,172962.0,0.98,Statistician,Senior,Critical Risk
2022,4,4,3,3,3.93,136.8,1.126,0.0635,0,258972.0,0.98,Cloud Architect,Lead,Critical Risk
2020,1,17,3,3,6.4,108.7,1.05,0.0733,0,115011.0,0.468,Product Manager,Entry,Moderate Risk
2019,3,3,5,5,8.36,100.6,1.038,0.072,1,201951.0,0.05,Business Analyst,Senior,Low Risk
2024,2,2,6,6,5.45,124.3,1.053,0.0454,0,156575.0,0.98,BI Developer,Mid,Critical Risk
2024,4,22,6,6,7.38,162.8,1.406,0.0662,1,323326.0,0.238,Statistician,Lead,Low Risk
2023,4,0,5,5,6.68,124.0,1.508,0.0761,0,346832.0,0.754,AI Engineer,Lead,Critical Risk
2023,5,9,3,3,4.17,117.4,0.968,0.061,0,247605.0,0.98,DevOps Engineer,Principal,Critical Risk
2023,1,23,5,5,4.68,117.2,0.874,0.0549,0,95670.0,0.98,Supply Chain Analyst,Entry,Critical Risk
2020,3,1,3,3,6.03,112.8,0.711,0.0589,0,138224.0,0.79,Accountant,Senior,Critical Risk
2021,2,17,5,5,7.4,125.5,1.308,0.0733,1,194469.0,0.234,Product Manager,Mid,Low Risk
2021,5,5,5,5,4.62,124.5,0.751,0.0492,0,192013.0,0.98,Content Strategist,Principal,Critical Risk
2025,4,15,4,4,3.18,170.4,1.119,0.0728,0,257510.0,0.98,Machine Learning Engineer,Lead,Critical Risk
2025,3,19,3,3,7.87,138.6,0.813,0.0467,0,158074.0,0.459,SEO Specialist,Senior,Moderate Risk
2024,3,17,5,5,7.18,143.0,1.336,0.0733,0,259853.0,0.445,Product Manager,Senior,Moderate Risk
2023,5,4,6,6,6.35,111.0,1.634,0.0635,0,417931.0,0.98,Cloud Architect,Principal,Critical Risk
2019,4,0,4,4,7.57,97.6,1.282,0.0761,1,294949.0,0.05,AI Engineer,Lead,Low Risk
2024,5,16,4,4,5.32,127.4,0.832,0.0783,0,212772.0,0.98,Operations Analyst,Principal,Critical Risk
2022,1,22,6,6,6.2,123.9,1.153,0.0662,0,126214.0,0.869,Statistician,Entry,Critical Risk
2024,1,9,4,4,5.15,113.8,1.208,0.061,0,132251.0,0.98,DevOps Engineer,Entry,Critical Risk
2020,5,13,5,5,6.04,102.6,0.851,0.015,0,217614.0,0.875,HR Analyst,Principal,Critical Risk
2025,2,19,4,4,5.22,161.9,0.818,0.0467,0,121606.0,0.98,SEO Specialist,Mid,Critical Risk
2019,2,22,5,5,4.6,99.5,0.996,0.0662,0,148096.0,0.98,Statistician,Mid,Critical Risk
2019,2,9,3,3,9.13,98.0,1.284,0.061,1,191008.0,0.05,DevOps Engineer,Mid,Low Risk
2022,1,5,6,6,6.52,121.6,0.971,0.0492,0,106336.0,0.98,Content Strategist,Entry,Critical Risk
2023,5,3,3,3,5.97,126.6,0.844,0.072,0,215914.0,0.98,Business Analyst,Principal,Critical Risk
2024,4,15,3,3,6.83,124.1,1.396,0.0728,0,321130.0,0.384,Machine Learning Engineer,Lead,Moderate Risk
2021,5,1,6,6,5.27,113.5,0.827,0.0589,0,211623.0,0.98,Accountant,Principal,Critical Risk
2025,1,16,6,6,6.87,132.8,1.175,0.0783,0,128680.0,0.98,Operations Analyst,Entry,Critical Risk
2019,4,4,5,5,6.04,97.4,1.341,0.0635,0,308553.0,0.866,Cloud Architect,Lead,Critical Risk
2022,3,15,3,3,6.33,127.8,1.188,0.0728,0,230984.0,0.25,Machine Learning Engineer,Senior,Moderate Risk
2022,4,9,5,5,7.6,107.8,1.41,0.061,1,324302.0,0.144,DevOps Engineer,Lead,Low Risk
2022,1,11,5,5,6.18,108.6,0.806,-0.0074,0,88226.0,0.98,Excel Analyst,Entry,Critical Risk
2025,5,19,3,3,2.6,151.3,0.546,0.0467,0,139567.0,0.98,SEO Specialist,Principal,Critical Risk
2019,3,2,5,5,6.44,99.4,0.992,0.0454,0,192934.0,0.98,BI Developer,Senior,Critical Risk
2019,1,7,4,4,7.98,97.0,1.224,0.1045,1,134064.0,0.05,Data Engineer,Entry,Low Risk
2021,3,17,3,3,9.33,116.8,1.334,0.0733,1,259376.0,0.05,Product Manager,Senior,Low Risk
2019,1,23,6,6,7.03,99.3,0.977,0.0549,0,106989.0,0.428,Supply Chain Analyst,Entry,Moderate Risk
2019,4,9,6,6,7.42,103.6,1.327,0.061,1,305176.0,0.245,DevOps Engineer,Lead,Low Risk
2019,2,6,4,4,7.1,106.4,0.877,0.0674,0,130376.0,0.514,Data Analyst,Mid,High Risk
2022,4,17,6,6,4.58,137.9,1.094,0.0733,0,251599.0,0.98,Product Manager,Lead,Critical Risk
2019,1,21,6,6,6.35,100.3,1.231,0.044,0,134828.0,0.545,Software Developer,Entry,High Risk
2022,1,0,5,5,4.88,125.4,1.493,0.0761,0,163491.0,0.98,AI Engineer,Entry,Critical Risk
2021,4,8,6,6,6.72,125.8,1.319,0.0881,0,303504.0,0.569,Data Scientist,Lead,High Risk
2020,2,4,3,3,6.13,110.8,1.125,0.0635,0,167375.0,0.656,Cloud Architect,Mid,High Risk
2024,2,13,4,4,7.3,107.4,0.917,0.015,0,136331.0,0.54,HR Analyst,Mid,High Risk
2025,1,13,6,6,3.18,175.0,0.598,0.015,0,65496.0,0.98,HR Analyst,Entry,Critical Risk
2023,5,13,4,4,6.4,113.2,0.872,0.015,0,223120.0,0.98,HR Analyst,Principal,Critical Risk
2021,1,12,3,3,8.8,107.1,0.897,0.0709,1,98189.0,0.05,Financial Analyst,Entry,Low Risk
2025,1,0,6,6,5.05,166.1,1.491,0.0761,0,163280.0,0.98,AI Engineer,Entry,Critical Risk
2023,2,13,6,6,8.62,149.1,1.269,0.015,1,188727.0,0.05,HR Analyst,Mid,Low Risk
2019,2,5,6,6,6.7,94.7,0.903,0.0492,0,134300.0,0.895,Content Strategist,Mid,Critical Risk
2021,4,21,3,3,3.9,100.4,0.933,0.044,0,214516.0,0.98,Software Developer,Lead,Critical Risk
2019,4,19,4,4,5.9,96.0,0.782,0.0467,0,179995.0,0.98,SEO Specialist,Lead,Critical Risk
2021,4,0,3,3,7.77,114.1,1.278,0.0761,1,294042.0,0.05,AI Engineer,Lead,Low Risk
2021,5,7,5,5,9.18,111.0,1.647,0.1045,1,421150.0,0.05,Data Engineer,Principal,Low Risk
2025,2,10,4,4,5.15,117.5,0.881,0.0445,0,131051.0,0.98,Digital Marketer,Mid,Critical Risk
2025,5,19,4,4,7.2,126.6,0.959,0.0467,0,245225.0,0.768,SEO Specialist,Principal,Critical Risk
2024,2,1,6,6,5.33,122.9,0.86,0.0589,0,127847.0,0.98,Accountant,Mid,Critical Risk
2024,2,14,5,5,5.84,125.7,0.736,0.0167,0,109427.0,0.98,IT Support Specialist,Mid,Critical Risk
2023,4,14,6,6,6.82,93.0,1.085,0.0167,0,249482.0,0.98,IT Support Specialist,Lead,Critical Risk
2022,5,9,3,3,6.8,116.4,1.247,0.061,0,318896.0,0.627,DevOps Engineer,Principal,High Risk
2022,2,5,4,4,7.22,110.4,0.812,0.0492,0,120835.0,0.616,Content Strategist,Mid,High Risk
2022,3,5,3,3,8.87,108.4,0.839,0.0492,1,163127.0,0.05,Content Strategist,Senior,Low Risk
2019,3,16,3,3,6.57,108.4,0.689,0.0783,0,133917.0,0.678,Operations Analyst,Senior,High Risk
2020,4,16,3,3,8.8,111.6,0.965,0.0783,1,222066.0,0.05,Operations Analyst,Lead,Low Risk
2020,5,19,3,3,6.53,112.6,0.687,0.0467,0,175661.0,0.969,SEO Specialist,Principal,Critical Risk
2019,4,11,3,3,6.47,99.0,0.635,-0.0074,0,146069.0,0.98,Excel Analyst,Lead,Critical Risk
2019,5,13,4,4,7.28,104.6,0.778,0.015,0,199021.0,0.479,HR Analyst,Principal,Moderate Risk
2023,2,18,5,5,6.78,106.4,1.181,0.0194,0,175647.0,0.538,QA Engineer,Mid,High Risk
2022,4,3,3,3,6.47,113.4,0.913,0.072,0,210026.0,0.39,Business Analyst,Lead,Moderate Risk
2024,1,23,4,4,8.52,146.5,1.132,0.0549,1,123930.0,0.05,Supply Chain Analyst,Entry,Low Risk
2020,4,23,4,4,5.12,101.2,0.779,0.0549,0,179292.0,0.98,Supply Chain Analyst,Lead,Critical Risk
2020,2,3,5,5,6.46,108.3,0.765,0.072,0,113849.0,0.638,Business Analyst,Mid,High Risk
2025,2,13,3,3,3.83,128.9,0.697,0.015,0,103704.0,0.98,HR Analyst,Mid,Critical Risk
2025,4,9,6,6,6.38,170.2,1.609,0.061,0,370060.0,0.58,DevOps Engineer,Lead,High Risk
2023,1,22,6,6,6.73,108.3,1.284,0.0662,0,140649.0,0.697,Statistician,Entry,High Risk
2021,3,23,6,6,6.5,118.8,1.105,0.0549,0,214835.0,0.631,Supply Chain Analyst,Senior,High Risk
2021,4,1,3,3,3.67,114.5,0.547,0.0589,0,125802.0,0.98,Accountant,Lead,Critical Risk
2025,2,17,6,6,7.7,127.7,1.676,0.0733,1,249292.0,0.308,Product Manager,Mid,Moderate Risk
2023,5,3,5,5,6.26,109.2,1.044,0.072,0,267010.0,0.931,Business Analyst,Principal,Critical Risk
2021,3,21,3,3,7.07,111.1,1.071,0.044,0,208287.0,0.44,Software Developer,Senior,Moderate Risk
2022,1,19,6,6,5.13,112.3,0.837,0.0467,0,91656.0,0.98,SEO Specialist,Entry,Critical Risk
2025,4,8,3,3,1.4,167.2,0.911,0.0881,0,209521.0,0.98,Data Scientist,Lead,Critical Risk
2024,1,9,5,5,4.68,120.6,1.309,0.061,0,143369.0,0.98,DevOps Engineer,Entry,Critical Risk
2021,2,5,4,4,6.52,110.4,0.742,0.0492,0,110380.0,0.553,Content Strategist,Mid,High Risk
2023,4,9,3,3,8.63,149.7,1.3,0.061,1,299098.0,0.05,DevOps Engineer,Lead,Low Risk
2024,5,10,3,3,6.4,111.5,0.855,0.0445,0,218665.0,0.98,Digital Marketer,Principal,Critical Risk
2022,5,23,4,4,6.6,134.8,0.885,0.0549,0,226432.0,0.792,Supply Chain Analyst,Principal,Critical Risk
2019,5,15,4,4,7.22,98.4,1.473,0.0728,1,376677.0,0.216,Machine Learning Engineer,Principal,Low Risk
2023,1,0,5,5,5.76,101.5,1.516,0.0761,0,166056.0,0.98,AI Engineer,Entry,Critical Risk
2024,5,2,4,4,4.0,150.4,0.863,0.0454,0,220747.0,0.98,BI Developer,Principal,Critical Risk
2023,1,3,5,5,4.66,134.4,0.762,0.072,0,83417.0,0.98,Business Analyst,Entry,Critical Risk
2019,5,10,6,6,5.22,88.9,0.791,0.0445,0,202304.0,0.98,Digital Marketer,Principal,Critical Risk
2024,2,3,6,6,6.3,145.7,1.124,0.072,0,167115.0,0.858,Business Analyst,Mid,Critical Risk
2021,3,17,5,5,8.14,111.3,1.398,0.0733,1,271893.0,0.05,Product Manager,Senior,Low Risk
2021,2,14,3,3,5.93,107.2,0.614,0.0167,0,91363.0,0.98,IT Support Specialist,Mid,Critical Risk
2020,3,2,4,4,6.78,102.4,0.959,0.0454,0,186458.0,0.681,BI Developer,Senior,High Risk
2021,1,10,6,6,6.85,110.0,1.073,0.0445,0,117551.0,0.744,Digital Marketer,Entry,High Risk
2023,4,13,3,3,5.93,115.0,0.694,0.015,0,159586.0,0.98,HR Analyst,Lead,Critical Risk
2021,3,17,3,3,6.83,113.9,1.079,0.0733,0,209937.0,0.245,Product Manager,Senior,Low Risk
2021,3,19,6,6,3.73,108.3,0.589,0.0467,0,114543.0,0.98,SEO Specialist,Senior,Critical Risk
2019,3,21,5,5,5.98,104.3,1.049,0.044,0,203984.0,0.98,Software Developer,Senior,Critical Risk
2019,1,3,6,6,4.87,109.4,0.894,0.072,0,97903.0,0.98,Business Analyst,Entry,Critical Risk
2023,2,4,5,5,5.98,118.7,1.361,0.0635,0,202381.0,0.723,Cloud Architect,Mid,High Risk
2023,4,0,5,5,6.32,139.6,1.511,0.0761,0,347627.0,0.72,AI Engineer,Lead,High Risk
2024,1,16,5,5,3.3,158.3,0.714,0.0783,0,78181.0,0.98,Operations Analyst,Entry,Critical Risk
2023,2,10,6,6,5.83,149.6,0.951,0.0445,0,141446.0,0.98,Digital Marketer,Mid,Critical Risk
2019,1,20,6,6,6.28,96.0,0.96,0.0651,0,105155.0,0.98,SQL Developer,Entry,Critical Risk
2022,1,17,4,4,6.22,128.5,1.181,0.0733,0,129341.0,0.621,Product Manager,Entry,High Risk
2021,4,2,5,5,1.74,115.1,0.647,0.0454,0,148744.0,0.98,BI Developer,Lead,Critical Risk
2021,4,1,5,5,5.58,113.6,0.779,0.0589,0,179209.0,0.98,Accountant,Lead,Critical Risk
2024,3,10,5,5,6.06,128.2,0.84,0.0445,0,163381.0,0.98,Digital Marketer,Senior,Critical Risk
2022,2,9,5,5,5.82,105.4,1.251,0.061,0,185990.0,0.98,DevOps Engineer,Mid,Critical Risk
2022,2,20,5,5,5.24,91.7,0.924,0.0651,0,137415.0,0.98,SQL Developer,Mid,Critical Risk
2019,5,23,3,3,8.6,108.3,0.883,0.0549,1,225724.0,0.05,Supply Chain Analyst,Principal,Low Risk
2019,2,23,4,4,6.3,98.8,0.724,0.0549,0,107702.0,0.845,Supply Chain Analyst,Mid,Critical Risk
2021,3,4,4,4,4.8,122.0,1.207,0.0635,0,234781.0,0.98,Cloud Architect,Senior,Critical Risk
2020,2,18,6,6,6.87,111.9,1.233,0.0194,0,183345.0,0.736,QA Engineer,Mid,High Risk
2019,3,4,6,6,8.3,94.5,1.623,0.0635,1,315682.0,0.05,Cloud Architect,Senior,Low Risk
2024,3,14,5,5,3.6,94.7,0.679,0.0167,0,132060.0,0.98,IT Support Specialist,Senior,Critical Risk
2023,4,13,5,5,7.48,146.5,1.13,0.015,0,259891.0,0.536,HR Analyst,Lead,High Risk
2022,2,4,6,6,7.38,123.3,1.625,0.0635,1,241694.0,0.249,Cloud Architect,Mid,Low Risk
2023,3,6,3,3,6.2,120.8,0.751,0.0674,0,146002.0,0.829,Data Analyst,Senior,Critical Risk
2022,5,23,5,5,7.26,97.3,1.069,0.0549,0,273495.0,0.47,Supply Chain Analyst,Principal,Moderate Risk
2024,3,1,6,6,4.75,133.7,0.836,0.0589,0,162676.0,0.98,Accountant,Senior,Critical Risk
2023,5,8,5,5,6.82,122.9,1.453,0.0881,0,371516.0,0.549,Data Scientist,Principal,High Risk
2023,5,20,4,4,6.38,101.4,0.949,0.0651,0,242620.0,0.98,SQL Developer,Principal,Critical Risk
2020,5,16,6,6,7.12,110.2,1.111,0.0783,0,284195.0,0.403,Operations Analyst,Principal,Moderate Risk
2019,4,19,6,6,5.75,102.4,0.76,0.0467,0,174929.0,0.98,SEO Specialist,Lead,Critical Risk
2022,1,9,3,3,8.73,117.1,1.21,0.061,1,132564.0,0.05,DevOps Engineer,Entry,Low Risk
2025,4,7,6,6,4.13,166.7,1.224,0.1045,0,281543.0,0.98,Data Engineer,Lead,Critical Risk
2020,3,13,6,6,6.25,106.4,0.902,0.015,0,175417.0,0.98,HR Analyst,Senior,Critical Risk
2022,5,23,6,6,6.28,112.7,1.079,0.0549,0,275914.0,0.98,Supply Chain Analyst,Principal,Critical Risk
2024,1,15,3,3,8.63,119.7,1.494,0.0728,1,163630.0,0.05,Machine Learning Engineer,Entry,Low Risk
2019,5,14,3,3,7.8,105.2,0.605,0.0167,0,154775.0,0.424,IT Support Specialist,Principal,Moderate Risk
2025,2,3,4,4,4.42,138.9,0.777,0.072,0,115503.0,0.98,Business Analyst,Mid,Critical Risk
2025,3,23,4,4,6.5,138.8,0.865,0.0549,0,168227.0,0.792,Supply Chain Analyst,Senior,Critical Risk
2019,5,19,6,6,6.25,101.1,0.864,0.0467,0,220890.0,0.98,SEO Specialist,Principal,Critical Risk
2022,2,18,4,4,6.05,118.5,0.821,0.0194,0,122066.0,0.98,QA Engineer,Mid,Critical Risk
2021,2,16,6,6,7.78,109.7,1.008,0.0783,1,149961.0,0.103,Operations Analyst,Mid,Low Risk
2021,1,13,3,3,3.9,107.5,0.535,0.015,0,58632.0,0.98,HR Analyst,Entry,Critical Risk
2021,5,21,3,3,3.9,109.0,0.915,0.044,0,234009.0,0.98,Software Developer,Principal,Critical Risk
2024,2,19,5,5,7.64,146.4,1.061,0.0467,0,157841.0,0.63,SEO Specialist,Mid,High Risk
