job_role,year,demand_index,skill_trend,auto_risk,survival_score,survival_yoy_change
Cloud Architect,2025,139.66666666666666,6.672777777777778,0.5415,56.18,9.6
Content Strategist,2019,97.95333333333333,6.196,0.7068,40.11,
Content Strategist,2020,107.74444444444445,5.501111111111111,0.7757777777777778,36.75,-3.36
Content Strategist,2021,113.52222222222223,5.862222222222222,0.8292222222222222,35.21,-1.54
Content Strategist,2022,114.78181818181817,7.084545454545455,0.5715454545454546,51.41,16.2
Content Strategist,2023,129.0,6.243636363636363,0.6885454545454546,45.85,-5.56
Content Strategist,2024,134.96666666666667,5.834166666666667,0.8195,38.92,-6.93
Content Strategist,2025,145.54444444444445,5.735555555555555,0.726,45.5,6.58
Data Analyst,2019,101.16666666666667,6.737777777777778,0.5528888888888889,49.87,
Data Analyst,2020,105.83846153846154,5.512307692307692,0.8327692307692308,33.34,-16.53
Data Analyst,2021,112.49000000000001,5.23,0.7938,36.06,2.72
Data Analyst,2022,121.71538461538461,6.578461538461538,0.5803076923076923,51.21,15.15
Data Analyst,2023,123.84666666666666,6.014666666666667,0.7271333333333333,42.61,-8.6
Data Analyst,2024,139.55,6.29,0.6289999999999999,50.77,8.16
Data Analyst,2025,139.61818181818182,6.064545454545455,0.7535454545454545,43.59,-7.18
Data Engineer,2019,102.05,6.571000000000001,0.5610999999999999,49.3,
Data Engineer,2020,107.85833333333333,5.9174999999999995,0.6121666666666666,46.39,-2.91
Data Engineer,2021,114.71818181818183,6.3963636363636365,0.59,49.35,2.96
Data Engineer,2022,124.09166666666668,6.156666666666666,0.742,42.04,-7.31
Data Engineer,2023,116.44166666666666,5.709166666666667,0.7188333333333333,41.49,-0.55
Data Engineer,2024,129.49285714285713,6.010714285714286,0.619,49.4,7.91
Data Engineer,2025,144.57777777777778,6.532222222222222,0.5461111111111111,56.45,7.05
Data Scientist,2019,101.475,6.21875,0.482625,53.0,
Data Scientist,2020,109.53333333333335,6.388333333333333,0.5603333333333333,50.19,-2.81
Data Scientist,2021,115.68181818181819,7.01,0.46099999999999997,57.51,7.32
Data Scientist,2022,123.20769230769231,6.350769230769231,0.5920769230769231,50.44,-7.07
Data Scientist,2023,128.73999999999998,6.28,0.5956666666666667,50.97,0.53
Data Scientist,2024,128.75454545454545,6.911818181818182,0.5032727272727272,57.0,6.03
Data Scientist,2025,150.025,5.265,0.79475,41.69,-15.31
DevOps Engineer,2019,98.72999999999999,6.763,0.4668,54.28,
DevOps Engineer,2020,105.27499999999999,6.194166666666667,0.673,43.07,-11.21
DevOps Engineer,2021,111.28571428571429,5.464285714285714,0.6905714285714285,41.91,-1.16
DevOps Engineer,2022,120.20526315789475,5.9663157894736845,0.7057368421052632,43.16,1.25
DevOps Engineer,2023,121.71538461538461,6.608461538461539,0.5326923076923077,53.87,10.71
DevOps Engineer,2024,132.9,5.364,0.9523999999999999,30.6,-23.27
DevOps Engineer,2025,147.5818181818182,6.661818181818182,0.6432727272727273,51.75,21.15
Digital Marketer,2019,98.86666666666667,6.2491666666666665,0.7376666666666667,38.63,
Digital Marketer,2020,108.2,6.019166666666667,0.7897500000000001,36.82,-1.81
Digital Marketer,2021,109.28888888888889,6.39,0.7692222222222223,38.67,1.85
Digital Marketer,2022,125.2,6.775454545454545,0.6566363636363636,47.83,9.16
Digital Marketer,2023,131.62307692307692,6.705384615384616,0.7423076923076923,43.97,-3.86
Digital Marketer,2024,132.64666666666668,6.226,0.8288666666666666,38.65,-5.32
Digital Marketer,2025,138.7,5.833076923076923,0.8211538461538462,39.39,0.74
Excel Analyst,2019,100.7875,6.076875,0.7811875,36.27,
Excel Analyst,2020,100.13333333333333,6.006666666666667,0.9171666666666667,28.59,-7.68
Excel Analyst,2021,99.375,5.02,0.92175,26.74,-1.85
Excel Analyst,2022,107.45,5.735714285714286,0.9736428571428571,26.17,-0.57
Excel Analyst,2023,104.37,5.227,0.9800000000000001,24.6,-1.57
Excel Analyst,2024,107.68666666666667,6.292,0.8522666666666666,33.72,9.12
Excel Analyst,2025,111.1625,5.496875,0.98,26.02,-7.7
Financial Analyst,2019,98.66666666666667,5.625555555555556,0.7932222222222222,34.61,
Financial Analyst,2020,106.95454545454545,6.137272727272728,0.6568181818181817,44.12,9.51
Financial Analyst,2021,111.88461538461539,6.1523076923076925,0.7237692307692308,41.2,-2.92
Financial Analyst,2022,120.72999999999999,6.009,0.7348,41.71,0.51
Financial Analyst,2023,127.32,6.188666666666666,0.7637333333333333,41.38,-0.33
Financial Analyst,2024,131.04000000000002,6.323,0.7821,41.12,-0.26
Financial Analyst,2025,130.09166666666667,6.061666666666667,0.8278333333333333,38.08,-3.04
HR Analyst,2019,102.46153846153847,6.970769230769231,0.6050769230769231,47.55,
HR Analyst,2020,106.01666666666667,6.523333333333333,0.7218333333333332,40.99,-6.56
HR Analyst,2021,114.53333333333335,6.265833333333333,0.7190833333333333,42.03,1.04
HR Analyst,2022,123.89999999999999,5.88909090909091,0.9127272727272726,32.22,-9.81
HR Analyst,2023,132.3,6.622142857142856,0.6555714285714286,48.72,16.5
HR Analyst,2024,134.3,5.8575,0.8731249999999999,35.91,-12.81
HR Analyst,2025,133.8923076923077,5.531538461538461,0.8761538461538462,35.19,-0.72
IT Support Specialist,2019,97.69,6.151,0.7428,38.03,
IT Support Specialist,2020,100.32000000000001,6.204,0.7739,36.79,-1.24
IT Support Specialist,2021,105.96666666666665,5.861666666666667,0.8990833333333333,30.24,-6.55
IT Support Specialist,2022,112.14285714285714,5.252857142857144,0.9488571428571427,27.51,-2.73
IT Support Specialist,2023,106.525,7.061249999999999,0.695875,43.3,15.79
IT Support Specialist,2024,112.18333333333334,6.259166666666666,0.8136666666666666,36.46,-6.84
IT Support Specialist,2025,102.14999999999999,6.0616666666666665,0.9313333333333333,28.19,-8.27
Machine Learning Engineer,2019,98.44,6.308,0.45519999999999994,54.19,
Machine Learning Engineer,2020,106.27142857142857,6.071428571428571,0.6582857142857143,43.84,-10.35
Machine Learning Engineer,2021,112.00833333333333,6.241666666666667,0.5604166666666667,50.34,6.5
Machine Learning Engineer,2022,118.78666666666666,6.656666666666666,0.45093333333333335,58.0,7.66
Machine Learning Engineer,2023,127.35000000000001,5.471666666666667,0.80125,38.24,-19.76
Machine Learning Engineer,2024,131.37857142857143,6.195,0.5417857142857143,54.2,15.96
Machine Learning Engineer,2025,152.59,5.7780000000000005,0.6989,48.12,-6.08
Operations Analyst,2019,100.89166666666667,6.41,0.7025833333333332,41.11,
Operations Analyst,2020,107.6,6.473000000000001,0.6508,45.06,3.95
Operations Analyst,2021,111.26666666666667,6.671666666666667,0.619,47.65,2.59
Operations Analyst,2022,122.92,5.734,0.7414,41.26,-6.39
Operations Analyst,2023,122.60769230769232,6.33,0.8207692307692308,37.74,-3.52
Operations Analyst,2024,137.5952380952381,5.876666666666667,0.8209047619047619,39.3,1.56
Operations Analyst,2025,138.56666666666666,6.724666666666667,0.7361333333333333,45.38,6.08
Product Manager,2019,101.28571428571429,6.892857142857143,0.5102857142857143,52.47,
Product Manager,2020,109.8,5.202666666666667,0.8438,32.86,-19.61
Product Manager,2021,114.0076923076923,6.249230769230769,0.564,50.46,17.6
Product Manager,2022,120.98571428571428,6.154285714285714,0.7074999999999999,43.47,-6.99
Product Manager,2023,120.75,6.1191666666666675,0.60125,49.22,5.75
Product Manager,2024,136.13846153846154,6.811538461538461,0.5215384615384615,56.95,7.73
Product Manager,2025,133.70909090909092,5.628181818181818,0.7754545454545454,40.85,-16.1
QA Engineer,2019,101.65,5.485,0.95025,26.21,
QA Engineer,2020,105.62727272727274,6.582727272727272,0.7623636363636362,38.79,12.58
QA Engineer,2021,106.55714285714285,6.301428571428572,0.7224285714285715,40.7,1.91
QA Engineer,2022,107.87,5.9955,0.8425499999999999,33.83,-6.87
QA Engineer,2023,105.25,6.451428571428572,0.6762857142857143,43.27,9.44
QA Engineer,2024,113.1125,6.0325,0.7456875000000001,40.0,-3.27
QA Engineer,2025,104.46363636363635,5.321818181818181,0.9546363636363636,26.15,-13.85
SEO Specialist,2019,100.41666666666667,6.182222222222222,0.8863333333333334,30.59,
SEO Specialist,2020,109.91,5.593,0.8755,31.72,1.13
SEO Specialist,2021,116.35000000000001,5.789166666666667,0.8810833333333333,32.68,0.96
SEO Specialist,2022,121.76923076923077,6.117692307692308,0.8307692307692308,36.75,4.07
SEO Specialist,2023,122.4,5.869,0.8815,33.68,-3.07
SEO Specialist,2024,136.8357142857143,6.514285714285714,0.7282142857142857,45.24,11.56
SEO Specialist,2025,144.45,5.4670000000000005,0.8954000000000001,35.62,-9.62
SQL Developer,2019,99.91764705882352,6.074117647058824,0.7927058823529411,35.5,
SQL Developer,2020,102.13888888888889,6.235555555555555,0.6980555555555555,41.28,5.78
SQL Developer,2021,106.25,5.814,0.7628,37.7,-3.58
SQL Developer,2022,104.66666666666667,6.088333333333334,0.84025,33.62,-4.08
SQL Developer,2023,106.27692307692307,6.1984615384615385,0.8025384615384615,36.1,2.48
SQL Developer,2024,115.3,6.292,0.7958000000000001,37.96,1.86
SQL Developer,2025,110.82857142857142,5.07,0.8412857142857143,32.96,-5.0
Software Developer,2019,99.92,6.012,0.7722,36.53,
Software Developer,2020,106.58571428571429,6.692857142857143,0.6017142857142856,47.93,11.4
Software Developer,2021,107.17999999999999,5.468,0.7295999999999999,39.15,-8.78
Software Developer,2022,122.56153846153846,6.2700000000000005,0.7263846153846154,42.84,3.69
Software Developer,2023,121.55714285714286,5.96,0.7037142857142857,43.47,0.63
Software Developer,2024,135.48125,6.6875,0.5575625,54.69,11.22
Software Developer,2025,151.38333333333335,5.6883333333333335,0.7799999999999999,43.34,-11.35
Statistician,2019,97.97999999999999,5.947,0.6058,45.3,
Statistician,2020,101.9,6.0075,0.785875,36.07,-9.23
Statistician,2021,111.425,5.985833333333333,0.7495833333333333,39.47,3.4
Statistician,2022,121.09,6.815,0.438,59.3,19.83
Statistician,2023,125.09,6.835000000000001,0.5593,53.25,-6.05
Statistician,2024,139.19166666666666,6.9875,0.4115,63.73,10.48
Statistician,2025,148.15454545454546,6.293636363636363,0.6674545454545454,49.95,-13.78
Supply Chain Analyst,2019,101.64666666666668,6.291333333333333,0.7186666666666667,40.16,
Supply Chain Analyst,2020,106.63571428571429,6.405,0.6677142857142858,43.88,3.72
Supply Chain Analyst,2021,114.55,6.718333333333334,0.5353333333333333,52.82,8.94
Supply Chain Analyst,2022,120.92666666666668,6.206,0.7119333333333333,43.29,-9.53
Supply Chain Analyst,2023,129.80588235294115,6.060588235294118,0.7091764705882353,44.56,1.27
Supply Chain Analyst,2024,132.26000000000002,6.623333333333333,0.5818,52.78,8.22
Supply Chain Analyst,2025,138.4,6.087272727272727,0.7756363636363637,42.23,-10.55
