job_role,skill,trend_score,salary_boost_usd,automation_risk_impact,category
IT Support Specialist,Cold Calling,2.0,0,0.65,Declining
Digital Marketer,Basic SEO,3.0,1500,0.55,Declining
Digital Marketer,Cold Calling,2.0,0,0.65,Declining
Digital Marketer,A/B Testing,7.9,13000,-0.07,Rising
Digital Marketer,Statistics,7.4,11000,-0.06,Rising
Content Strategist,Basic SEO,3.0,1500,0.55,Declining
Content Strategist,Cold Calling,2.0,0,0.65,Declining
Content Strategist,Prompt Engineering,9.3,21000,-0.18,Rising
SEO Specialist,Basic SEO,3.0,1500,0.55,Declining
SEO Specialist,Statistics,7.4,11000,-0.06,Rising
SEO Specialist,A/B Testing,7.9,13000,-0.07,Rising
Financial Analyst,Excel (Basic),3.5,2000,0.3,Declining
Financial Analyst,SQL,7.5,8000,-0.05,Rising
Financial Analyst,Statistics,7.4,11000,-0.06,Rising
Financial Analyst,Python,9.2,18000,-0.15,Rising
Financial Analyst,Power BI,7.8,9000,-0.04,Rising
Accountant,Excel (Basic),3.5,2000,0.3,Declining
Accountant,Legacy VBA,2.0,500,0.6,Declining
Accountant,MS Access,2.2,1000,0.5,Declining
Accountant,Copy-Paste Reporting,1.0,0,0.9,Declining
HR Analyst,Excel (Basic),3.5,2000,0.3,Declining
HR Analyst,SQL,7.5,8000,-0.05,Rising
HR Analyst,Statistics,7.4,11000,-0.06,Rising
HR Analyst,Power BI,7.8,9000,-0.04,Rising
Supply Chain Analyst,SQL,7.5,8000,-0.05,Rising
Supply Chain Analyst,Python,9.2,18000,-0.15,Rising
Supply Chain Analyst,Statistics,7.4,11000,-0.06,Rising
Supply Chain Analyst,Excel (Basic),3.5,2000,0.3,Declining
Supply Chain Analyst,Power BI,7.8,9000,-0.04,Rising
Operations Analyst,SQL,7.5,8000,-0.05,Rising
Operations Analyst,Excel (Basic),3.5,2000,0.3,Declining
Operations Analyst,Statistics,7.4,11000,-0.06,Rising
Operations Analyst,Power BI,7.8,9000,-0.04,Rising
Product Manager,SQL,7.5,8000,-0.05,Rising
Product Manager,A/B Testing,7.9,13000,-0.07,Rising
Product Manager,Statistics,7.4,11000,-0.06,Rising
Product Manager,Python,9.2,18000,-0.15,Rising
Product Manager,LLMs/GenAI,9.8,30000,-0.22,Rising
